id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-01-13T23:40:37;payment unleash Jamaican Dollar;1
2;Rest;2021-01-14T18:57:07;Plains;2
3;Quality Plastic plum;2021-01-13T23:17:29;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-01-14T19:44:41;Architect SSL;4
5;zero tolerance;2021-01-14T16:41:00;user-facing CSS;5
6;ADP Ouguiya;2021-01-14T12:37:28;Garden;6
7;auxiliary;2021-01-14T20:53:28;functionalities Bedfordshire withdrawal;7
8;Data;2021-01-13T23:51:29;Viaduct hybrid;8
9;mesh;2021-01-14T22:17:08;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-01-14T20:16:02;Re-engineered withdrawal Ball;10
